Reading,Target,Sensor
1,53.50000000000001,39.85
2,53.50000000000001,39.55
3,53.50000000000001,39.55
4,53.50000000000001,39.85
5,53.50000000000001,39.85
6,53.50000000000001,39.55
7,53.50000000000001,39.85
8,53.50000000000001,39.55
9,53.50000000000001,39.85
10,53.50000000000001,39.55
11,53.50000000000001,39.85
12,53.50000000000001,39.85
13,53.50000000000001,39.85
14,53.50000000000001,39.85
15,53.50000000000001,39.85
16,53.50000000000001,39.85
17,53.50000000000001,39.85
18,53.50000000000001,39.85
19,53.50000000000001,39.85
20,53.50000000000001,40.15
21,53.50000000000001,41.05
22,53.50000000000001,43.15
23,53.50000000000001,46.15
24,53.50000000000001,50.35
25,53.50000000000001,54.85
26,53.50000000000001,58.15
27,53.50000000000001,60.55
28,53.50000000000001,62.35
29,53.50000000000001,62.95000000000001
30,53.50000000000001,63.25
31,53.50000000000001,63.25
32,53.50000000000001,63.55
33,53.50000000000001,63.25
34,53.50000000000001,63.25
35,53.50000000000001,62.65000000000001
36,53.50000000000001,62.35
37,53.50000000000001,61.15
38,53.50000000000001,59.35
39,53.50000000000001,56.65
40,53.50000000000001,54.85
41,53.50000000000001,53.35000000000001
42,53.50000000000001,52.45000000000001
43,53.50000000000001,51.85
44,53.50000000000001,51.85
45,53.50000000000001,52.75
46,53.50000000000001,53.35000000000001
47,53.50000000000001,54.55
48,53.50000000000001,55.75
49,53.50000000000001,57.85
50,53.50000000000001,58.45000000000001
51,53.50000000000001,59.05
52,53.50000000000001,59.65
53,53.50000000000001,59.95000000000001
54,53.50000000000001,59.95000000000001
55,53.50000000000001,59.95000000000001
56,53.50000000000001,59.05
57,53.50000000000001,58.45000000000001
58,53.50000000000001,57.85
59,53.50000000000001,56.95
60,53.50000000000001,56.35000000000001
61,53.50000000000001,55.75
62,53.50000000000001,55.75
63,53.50000000000001,55.75
64,53.50000000000001,56.05
65,53.50000000000001,56.35000000000001
66,53.50000000000001,56.65
67,53.50000000000001,56.95
68,53.50000000000001,57.55
69,53.50000000000001,57.55
70,53.50000000000001,57.55
71,53.50000000000001,56.95
72,53.50000000000001,56.35000000000001
73,53.50000000000001,55.75
74,53.50000000000001,55.15000000000001
75,53.50000000000001,55.15000000000001
76,53.50000000000001,54.55
77,53.50000000000001,54.85
78,53.50000000000001,53.95
79,53.50000000000001,53.35000000000001
80,53.50000000000001,53.05
81,53.50000000000001,53.05
82,53.50000000000001,53.05
83,53.50000000000001,52.75
84,53.50000000000001,52.45000000000001
85,53.50000000000001,52.45000000000001
86,53.50000000000001,52.45000000000001
87,53.50000000000001,52.75
88,53.50000000000001,52.75
89,53.50000000000001,53.05
90,53.50000000000001,52.75
91,53.50000000000001,53.05
92,53.50000000000001,53.65
93,53.50000000000001,54.25000000000001
94,53.50000000000001,54.25000000000001
95,53.50000000000001,54.55
96,53.50000000000001,55.45000000000001
97,53.50000000000001,56.05
98,53.50000000000001,56.05
99,53.50000000000001,56.05
100,53.50000000000001,56.05
101,53.50000000000001,55.75
102,53.50000000000001,55.75
103,53.50000000000001,55.45000000000001
104,53.50000000000001,54.85
105,53.50000000000001,53.95
106,53.50000000000001,53.35000000000001
107,53.50000000000001,53.05
108,53.50000000000001,52.15
109,53.50000000000001,51.25
110,53.50000000000001,50.05
111,53.50000000000001,50.05
112,53.50000000000001,50.05
113,53.50000000000001,49.75000000000001
114,53.50000000000001,50.35
115,53.50000000000001,50.95000000000001
116,53.50000000000001,52.15
117,53.50000000000001,53.05
118,53.50000000000001,53.65
119,53.50000000000001,54.55
120,53.50000000000001,55.75
121,53.50000000000001,56.65
122,53.50000000000001,56.65
123,53.50000000000001,56.05
124,53.50000000000001,55.75
125,53.50000000000001,55.15000000000001
126,53.50000000000001,53.35000000000001
127,53.50000000000001,52.45000000000001
128,53.50000000000001,52.15
129,53.50000000000001,52.15
130,53.50000000000001,52.45000000000001
131,53.50000000000001,52.75
132,53.50000000000001,53.05
133,53.50000000000001,53.35000000000001
134,53.50000000000001,54.55
135,53.50000000000001,54.85
136,53.50000000000001,55.15000000000001
137,53.50000000000001,55.15000000000001
138,53.50000000000001,54.85
139,53.50000000000001,53.95
140,53.50000000000001,53.05
141,53.50000000000001,52.45000000000001
142,53.50000000000001,52.15
143,53.50000000000001,51.55
144,53.50000000000001,51.25
145,53.50000000000001,51.55
146,53.50000000000001,52.15
147,53.50000000000001,52.15
148,53.50000000000001,53.05
149,53.50000000000001,53.95
150,53.50000000000001,55.45000000000001
151,53.50000000000001,55.45000000000001
152,53.50000000000001,56.05
153,53.50000000000001,56.65
154,53.50000000000001,56.95
155,53.50000000000001,56.95
